ID,locate,lat,lng
7062,台湾+北海,21.538931,109.1913131
7063,台湾+台北 淡水红树林,25.1546936,121.4587793
7064,台湾+新北·九份,25.111088,121.843807
7065,台湾+新北·金山,25.22508,121.638625
7066,台湾+花莲 理想大地度,23.9499886,121.5518908
7067,台湾+台东森林公园,22.7915423,121.1851497
7068,台湾+台东·初鹿牧场,22.7972447,121.0713702
7069,台湾+台东知本森林公园,22.688286,120.9911969
7070,台湾+台东·太麻里,22.5540555,120.9532123
7071,青海祁连+花海鸳鸯,38.177112,100.253211
7072,青海祁连+卓尔山景区,38.184119,100.276148
7073,台湾+新竹·绿世界,24.8077274,120.9677414
7074,台湾+宜兰,24.6355721,121.5100572
7075,台湾+新北·平溪,25.0248314,121.7408654
7076,广东广州+海珠湖公园,23.0754068,113.3239513
7077,甘肃玉门+白杨河水库,39.814528,97.92772
7078,福建漳浦+六鳌,23.934173,117.750935
7079,江西南昌+昌北机场,28.839853,115.90676
7080,四川松潘+茂县九顶山,32.655325,103.604698
7081,广东珠海+中山公园,22.498627,113.3874614
7082,黑龙江哈尔滨+群力湿地公园,45.7282731,126.5572985
7083,江西九江+南湖大桥,29.703833,116.006491
7084,甘肃肃北+老虎沟12号冰川,39.51245,94.87657899999999
7085,广东番禺+大夫山森林公园,22.947995,113.323687
7086,青海治多+索南达杰保护站,35.431701,93.601761
7087,湖北鄂州+白雉山林场,30.369877,114.86566
7088,山东青岛+青科大崂山校区,36.063564,120.31255
7089,陕西周至+秦岭国家植物园,34.0538,108.391863
7090,江西南昌+朱港,29.09988,115.725336
7091,河南平顶山+汝州,34.168951,112.827144
7092,广西平果+莫鲁屯村,23.3157,107.565212
7093,浙江杭州+西溪谷游步道,30.243487,120.182875
7094,云南河口+坝洒农场,22.529404,103.93935
7095,湖北黄陂+建安小学,30.90818299999999,114.292317
7096,浙江黄岩+太湖山风景区,28.650117,121.261893
7097,黑龙江哈尔滨+东北林大,45.725716,126.628397
7098,福建厦门+同安蝴蝶谷,24.722747,118.152149
7099,浙江常山+同弓乡,28.896154,118.42952
7100,云南龙陵+龙江,24.754778,98.684908
7101,广东珠海+农科所,22.0954338,113.191863
7102,广西梧州+云龙公园,23.47571,111.340639
7103,内蒙古伊金霍洛旗+哈达图海子,39.56466,109.74774
7104,浙江杭州+青莎公园,30.3089446,120.13913
7105,内蒙古乌拉特前镇+乌梁素海,40.73703,108.652119
7106,河南汝州+河南汝州,34.168951,112.827144
7107,河南汝州+汝河,34.1346507,112.8577277
7108,内蒙古阿拉善左旗+南寺旅游区,38.665458,105.79061
7109,广东江门+良溪古村,22.56113,113.104269
7110,新疆石河子+夹河子、跃进水库,44.26812899999999,86.062714
7111,广东清远+飞来峡镇上龙埗村,23.817974,113.273132
7112,福建厦门+翔安香山,24.6174864,118.2914458
7113,福建福清+石竹山周边,25.67611,119.384138
7114,四川成都+欢乐谷,30.7189967,104.0310701
